image_name,latitude,latref,longitude,lonref,datrtime
GPFR1903.JPG,"[34, 4, 196797/25000]",N,"[118, 10, 53727/5000]",W,2021:11:10 15:25:15
GPFR1904.JPG,"[34, 4, 99357/12500]",N,"[118, 10, 53817/5000]",W,2021:11:10 15:25:41
GPFR1905.JPG,"[34, 4, 81890399/10000000]",N,"[118, 10, 106636799/10000000]",W,2021:11:10 15:26:17
GPFR1906.JPG,"[34, 4, 208011/25000]",N,"[118, 10, 26553/2500]",W,2021:11:10 15:26:35
GPFR1907.JPG,"[34, 4, 84511199/10000000]",N,"[118, 10, 265053/25000]",W,2021:11:10 15:26:49
GPFR1908.JPG,"[34, 4, 85850399/10000000]",N,"[118, 10, 105103199/10000000]",W,2021:11:10 15:27:07
GPFR1909.JPG,"[34, 4, 87862799/10000000]",N,"[118, 10, 104174399/10000000]",W,2021:11:10 15:27:25
GPFR1910.JPG,"[34, 4, 8949/1000]",N,"[118, 10, 103303199/10000000]",W,2021:11:10 15:27:41
GPFR1911.JPG,"[34, 4, 90775199/10000000]",N,"[118, 10, 64029/6250]",W,2021:11:10 15:27:55
GPFR1912.JPG,"[34, 4, 230619/25000]",N,"[118, 10, 100779599/10000000]",W,2021:11:10 15:28:21
GPFR1913.JPG,"[34, 4, 93327599/10000000]",N,"[118, 10, 100081199/10000000]",W,2021:11:10 15:28:35
GPFR1914.JPG,"[34, 4, 94760399/10000000]",N,"[118, 10, 99044399/10000000]",W,2021:11:10 15:28:53
GPFR1915.JPG,"[34, 4, 96311999/10000000]",N,"[118, 10, 48921/5000]",W,2021:11:10 15:29:11
GPFR1916.JPG,"[34, 4, 24393/2500]",N,"[118, 10, 96805199/10000000]",W,2021:11:10 15:29:27
GPFR1917.JPG,"[34, 4, 98590799/10000000]",N,"[118, 10, 95235599/10000000]",W,2021:11:10 15:29:43
GPFR1918.JPG,"[34, 4, 99634799/10000000]",N,"[118, 10, 94097999/10000000]",W,2021:11:10 15:29:57
GPFR1919.JPG,"[34, 4, 100599599/10000000]",N,"[118, 10, 116403/12500]",W,2021:11:10 15:30:09
GPFR1920.JPG,"[34, 4, 101956799/10000000]",N,"[118, 10, 22953/2500]",W,2021:11:10 15:30:23
GPFR1921.JPG,"[34, 4, 32433/3125]",N,"[118, 10, 112947/12500]",W,2021:11:10 15:30:41
GPFR1922.JPG,"[34, 4, 103713599/10000000]",N,"[118, 10, 112569/12500]",W,2021:11:10 15:31:19
